material;eng;dk;se
Faux Fur;Faux Fur;Kunstig pels;Konstpäls
Felt;Felt;Filt;Filt
Foam / EVA;Foam / EVA;EVA;Skumplast
Genuine Leather;Genuine Leather;Ægte læder;Äkta läder
Glass;Glass;Glas;Glas
Metal;Metal;Metal;Metall
Neoprene;Neoprene;Neopren;Neopren
Plastic;Plastic;Plastik;Hårdplast
PU Leather;PU Leather;Kunstlæder;konstläder
Rhinestone;Rhinestone;Rhinsten;Strass
Silicone / TPU;Silicone;Silikone;Mjukplast
Stone;Stone;Sten;Sten
Textile / Nylon;Textile;Stof;Nylon
Wood;Wood;Træ;Trä
Tempered Glass;Tempered Glass;Hærdet Glas;Härdat glas
